condition,epoch,i,x
winsfs_b500_w100,10,4,354623.502802
winsfs_b500_w100,10,5,268550.401781
winsfs_b500_w100,10,6,215670.992001
winsfs_b500_w100,10,7,171885.815331
winsfs_b500_w100,10,8,149788.484234
winsfs_b500_w100,10,9,123000.399169
winsfs_b500_w100,10,10,129474.672787
winsfs_b500_w100,10,11,96571.369195
winsfs_b500_w100,10,12,98485.34526
winsfs_b500_w100,10,13,87663.182415
winsfs_b500_w100,10,14,85731.488763
winsfs_b500_w100,10,15,83727.345236
winsfs_b500_w100,10,16,84934.655875
winsfs_b500_w100,10,17,92886.996408
winsfs_b500_w100,10,18,105177.940436
winsfs_b500_w100,10,19,135129.614904
winsfs_b500_w100,10,20,14735809.108454
winsfs_b500_w100,11,0,1153742578.976055
winsfs_b500_w100,11,1,1482221.075864
winsfs_b500_w100,11,2,790048.666618
winsfs_b500_w100,11,3,507062.912213
winsfs_b500_w100,11,4,354623.774613
winsfs_b500_w100,11,5,268549.552984
winsfs_b500_w100,11,6,215673.031038
winsfs_b500_w100,11,7,171881.985223
winsfs_b500_w100,11,8,149794.212089
winsfs_b500_w100,11,9,122993.349572
winsfs_b500_w100,11,10,129482.223991
winsfs_b500_w100,11,11,96564.218829
winsfs_b500_w100,11,12,98491.06118
winsfs_b500_w100,11,13,87659.499229
winsfs_b500_w100,11,14,85733.355048
winsfs_b500_w100,11,15,83726.609587
winsfs_b500_w100,11,16,84934.878113
winsfs_b500_w100,11,17,92886.947051
winsfs_b500_w100,11,18,105177.947994
winsfs_b500_w100,11,19,135129.614209
winsfs_b500_w100,11,20,14735809.108501
winsfs_b500_w100,12,0,1153742578.976072
winsfs_b500_w100,12,1,1482221.075309
winsfs_b500_w100,12,2,790048.672198
winsfs_b500_w100,12,3,507062.877288
winsfs_b500_w100,12,4,354623.923958
winsfs_b500_w100,12,5,268549.088286
winsfs_b500_w100,12,6,215674.144277
winsfs_b500_w100,12,7,171879.897721
winsfs_b500_w100,12,8,149797.332558
winsfs_b500_w100,12,9,122989.503803
winsfs_b500_w100,12,10,129486.358571
winsfs_b500_w100,12,11,96560.281832
winsfs_b500_w100,12,12,98494.230162
winsfs_b500_w100,12,13,87657.44032
winsfs_b500_w100,12,14,85734.408559
winsfs_b500_w100,12,15,83726.189442
winsfs_b500_w100,12,16,84935.006811
winsfs_b500_w100,12,17,92886.917988
winsfs_b500_w100,12,18,105177.952536
winsfs_b500_w100,12,19,135129.61378
winsfs_b500_w100,12,20,14735809.108529
winsfs_b500_w100,13,0,1153742578.976082
winsfs_b500_w100,13,1,1482221.075003
winsfs_b500_w100,13,2,790048.675273
winsfs_b500_w100,13,3,507062.858111
winsfs_b500_w100,13,4,354624.005722
winsfs_b500_w100,13,5,268548.834451
winsfs_b500_w100,13,6,215674.751411
winsfs_b500_w100,13,7,171878.760052
winsfs_b500_w100,13,8,149799.033749
winsfs_b500_w100,13,9,122987.403503
winsfs_b500_w100,13,10,129488.62463
winsfs_b500_w100,13,11,96558.113582
winsfs_b500_w100,13,12,98495.985253
winsfs_b500_w100,13,13,87656.292703
winsfs_b500_w100,13,14,85735.00011
winsfs_b500_w100,13,15,83725.951505
winsfs_b500_w100,13,16,84935.08042
winsfs_b500_w100,13,17,92886.901171
winsfs_b500_w100,13,18,105177.955201
winsfs_b500_w100,13,19,135129.613524
winsfs_b500_w100,13,20,14735809.108546
winsfs_b500_w100,14,0,1153742578.976087
winsfs_b500_w100,14,1,1482221.074834
winsfs_b500_w100,14,2,790048.67696
winsfs_b500_w100,14,3,507062.847617
winsfs_b500_w100,14,4,354624.050383
winsfs_b500_w100,14,5,268548.69598
winsfs_b500_w100,14,6,215675.082381
winsfs_b500_w100,14,7,171878.139874
winsfs_b500_w100,14,8,149799.96188
winsfs_b500_w100,14,9,122986.255383
winsfs_b500_w100,14,10,129489.867511
winsfs_b500_w100,14,11,96556.91932
winsfs_b500_w100,14,12,98496.956414
winsfs_b500_w100,14,13,87655.654468
winsfs_b500_w100,14,14,85735.330948
winsfs_b500_w100,14,15,83725.817584
winsfs_b500_w100,14,16,84935.122151
winsfs_b500_w100,14,17,92886.891558
winsfs_b500_w100,14,18,105177.956739
winsfs_b500_w100,14,19,135129.613374
winsfs_b500_w100,14,20,14735809.108556
winsfs_b500_w100,15,0,1153742578.976089
winsfs_b500_w100,15,1,1482221.074741
winsfs_b500_w100,15,2,790048.677882
winsfs_b500_w100,15,3,507062.841887
winsfs_b500_w100,15,4,354624.074745
winsfs_b500_w100,15,5,268548.620488
winsfs_b500_w100,15,6,215675.262804
winsfs_b500_w100,15,7,171877.801643
winsfs_b500_w100,15,8,149800.468622
winsfs_b500_w100,15,9,122985.627264
winsfs_b500_w100,15,10,129490.549582
winsfs_b500_w100,15,11,96556.261518
winsfs_b500_w100,15,12,98497.493381
winsfs_b500_w100,15,13,87655.300153
winsfs_b500_w100,15,14,85735.515417
winsfs_b500_w100,15,15,83725.742551
winsfs_b500_w100,15,16,84935.145657
winsfs_b500_w100,15,17,92886.88611
winsfs_b500_w100,15,18,105177.957617
winsfs_b500_w100,15,19,135129.613288
winsfs_b500_w100,15,20,14735809.108562
winsfs_b500_w100,16,0,1153742578.976091
winsfs_b500_w100,16,1,1482221.074691
winsfs_b500_w100,16,2,790048.678385
winsfs_b500_w100,16,3,507062.838762
winsfs_b500_w100,16,4,354624.088026
winsfs_b500_w100,16,5,268548.579336
winsfs_b500_w100,16,6,215675.361185
winsfs_b500_w100,16,7,171877.617076
winsfs_b500_w100,16,8,149800.745491
winsfs_b500_w100,16,9,122985.283393
winsfs_b500_w100,16,10,129490.924052
winsfs_b500_w100,16,11,96555.899213
winsfs_b500_w100,16,12,98497.79008
winsfs_b500_w100,16,13,87655.103737
winsfs_b500_w100,16,14,85735.61803
winsfs_b500_w100,16,15,83725.700658
winsfs_b500_w100,16,16,84935.158835
winsfs_b500_w100,16,17,92886.883042
winsfs_b500_w100,16,18,105177.958113
winsfs_b500_w100,16,19,135129.613239
winsfs_b500_w100,16,20,14735809.108565
winsfs_b500_w100,17,0,1153742578.976092
winsfs_b500_w100,17,1,1482221.074663
winsfs_b500_w100,17,2,790048.678659
winsfs_b500_w100,17,3,507062.837059
winsfs_b500_w100,17,4,354624.095266
winsfs_b500_w100,17,5,268548.556898
winsfs_b500_w100,17,6,215675.414855
winsfs_b500_w100,17,7,171877.516298
winsfs_b500_w100,17,8,149800.896868
winsfs_b500_w100,17,9,122985.095026
winsfs_b500_w100,17,10,129491.12971
winsfs_b500_w100,17,11,96555.699678
winsfs_b500_w100,17,12,98497.953925
winsfs_b500_w100,17,13,87654.994981
winsfs_b500_w100,17,14,85735.675004
winsfs_b500_w100,17,15,83725.677329
winsfs_b500_w100,17,16,84935.166196
winsfs_b500_w100,17,17,92886.881323
winsfs_b500_w100,17,18,105177.958393
winsfs_b500_w100,17,19,135129.613211
winsfs_b500_w100,17,20,14735809.108567
winsfs_b500_w100,18,0,1153742578.976092
winsfs_b500_w100,18,1,1482221.074648
winsfs_b500_w100,18,2,790048.678809
winsfs_b500_w100,18,3,507062.83613
winsfs_b500_w100,18,4,354624.099213
winsfs_b500_w100,18,5,268548.54466
winsfs_b500_w100,18,6,215675.444149
winsfs_b500_w100,18,7,171877.461237
winsfs_b500_w100,18,8,149800.979683
winsfs_b500_w100,18,9,122984.991788
winsfs_b500_w100,18,10,129491.242687
winsfs_b500_w100,18,11,96555.589797
winsfs_b500_w100,18,12,98498.044359
winsfs_b500_w100,18,13,87654.93482
winsfs_b500_w100,18,14,85735.706591
winsfs_b500_w100,18,15,83725.664365
winsfs_b500_w100,18,16,84935.170297
winsfs_b500_w100,18,17,92886.880362
winsfs_b500_w100,18,18,105177.958549
winsfs_b500_w100,18,19,135129.613196
winsfs_b500_w100,18,20,14735809.108568
winsfs_b500_w100,19,0,1153742578.976092
winsfs_b500_w100,19,1,1482221.07464
winsfs_b500_w100,19,2,790048.67889
winsfs_b500_w100,19,3,507062.835624
winsfs_b500_w100,19,4,354624.101365
winsfs_b500_w100,19,5,268548.537981
winsfs_b500_w100,19,6,215675.460149
winsfs_b500_w100,19,7,171877.431134
winsfs_b500_w100,19,8,149801.025017
winsfs_b500_w100,19,9,122984.935181
winsfs_b500_w100,19,10,129491.304764
winsfs_b500_w100,19,11,96555.529293
winsfs_b500_w100,19,12,98498.094252
winsfs_b500_w100,19,13,87654.901567
winsfs_b500_w100,19,14,85735.724083
winsfs_b500_w100,19,15,83725.657173
winsfs_b500_w100,19,16,84935.172576
winsfs_b500_w100,19,17,92886.879827
winsfs_b500_w100,19,18,105177.958637
winsfs_b500_w100,19,19,135129.613187
winsfs_b500_w100,19,20,14735809.108568
winsfs_b500_w100,20,0,1153742578.976092
winsfs_b500_w100,20,1,1482221.074636
winsfs_b500_w100,20,2,790048.678935
winsfs_b500_w100,20,3,507062.835348
winsfs_b500_w100,20,4,354624.10254
winsfs_b500_w100,20,5,268548.534334
winsfs_b500_w100,20,6,215675.468893
winsfs_b500_w100,20,7,171877.414667
winsfs_b500_w100,20,8,149801.049845
winsfs_b500_w100,20,9,122984.904131
winsfs_b500_w100,20,10,129491.338877
winsfs_b500_w100,20,11,96555.49598
winsfs_b500_w100,20,12,98498.121768
winsfs_b500_w100,20,13,87654.883199
winsfs_b500_w100,20,14,85735.733758
winsfs_b500_w100,20,15,83725.653188
winsfs_b500_w100,20,16,84935.173841
winsfs_b500_w100,20,17,92886.87953
winsfs_b500_w100,20,18,105177.958685
winsfs_b500_w100,20,19,135129.613182
winsfs_b500_w100,20,20,14735809.108569
winsfs_b500_w100,21,0,1153742578.976093
winsfs_b500_w100,21,1,1482221.074633
winsfs_b500_w100,21,2,790048.678959
winsfs_b500_w100,21,3,507062.835198
winsfs_b500_w100,21,4,354624.103181
winsfs_b500_w100,21,5,268548.532342
winsfs_b500_w100,21,6,215675.473674
winsfs_b500_w100,21,7,171877.405654
winsfs_b500_w100,21,8,149801.06345
winsfs_b500_w100,21,9,122984.887094
winsfs_b500_w100,21,10,129491.357627
winsfs_b500_w100,21,11,96555.477641
winsfs_b500_w100,21,12,98498.136938
winsfs_b500_w100,21,13,87654.87306
winsfs_b500_w100,21,14,85735.739107
winsfs_b500_w100,21,15,83725.650983
winsfs_b500_w100,21,16,84935.174542
winsfs_b500_w100,21,17,92886.879365
winsfs_b500_w100,21,18,105177.958712
winsfs_b500_w100,21,19,135129.61318
winsfs_b500_w100,21,20,14735809.108569
winsfs_b500_w100,22,0,1153742578.976092
winsfs_b500_w100,22,1,1482221.074632
winsfs_b500_w100,22,2,790048.678972
winsfs_b500_w100,22,3,507062.835115
winsfs_b500_w100,22,4,354624.103532
winsfs_b500_w100,22,5,268548.531252
winsfs_b500_w100,22,6,215675.47629
winsfs_b500_w100,22,7,171877.400718
winsfs_b500_w100,22,8,149801.070908
winsfs_b500_w100,22,9,122984.877742
winsfs_b500_w100,22,10,129491.367933
winsfs_b500_w100,22,11,96555.467546
winsfs_b500_w100,22,12,98498.145299
winsfs_b500_w100,22,13,87654.867465
winsfs_b500_w100,22,14,85735.742061
winsfs_b500_w100,22,15,83725.649763
winsfs_b500_w100,22,16,84935.17493
winsfs_b500_w100,22,17,92886.879274
winsfs_b500_w100,22,18,105177.958727
winsfs_b500_w100,22,19,135129.613178
winsfs_b500_w100,22,20,14735809.108569
